Name,County,Acres,Km2,Start Date,Contained Date,Notes,Ref
Soda,Tulare,"1,612",6.5,"January 14, 2014","February 15, 2014",,[10]
Colby,Los Angeles,"1,952",7.9,"January 16, 2014","January 21, 2014",15 structures destroyed,[11]
Etiwanda,San Bernardino,"2,200",8.9,"April 30, 2014","May 9, 2014",,[12]
Bernardo,San Diego,"1,548",6.3,"May 13, 2014","May 17, 2014",,[13]
Tomahawk,San Diego,"5,367",21.7,"May 14, 2014","May 19, 2014",,[14]
Poinsettia,San Diego,600,2.4,"May 14, 2014","May 17, 2014",28 structures destroyed,[15]
Cocos,San Diego,"1,995",8.1,"May 14, 2014","May 22, 2014",40 structures destroyed,[16]
Pulgas,San Diego,"14,416",58.3,"May 15, 2014","May 21, 2014",,[17]
San Mateo,San Diego,"1,457",5.9,"May 16, 2014","May 20, 2014",,[18]
Shirley,Kern,"2,545",10.3,"June 13, 2014","June 22, 2014",2 structures destroyed,[19]
Stony,Monterey,"4,840",19.6,"June 19, 2014","June 22, 2014",,[10]
Butts,Napa,"4,300",17.4,"July 1, 2014","July 9, 2014","9 structures destroyed, 2 civilian fatalities",[20]
Modoc July Complex,Modoc,"2,566",10.4,"July 1, 2014","July 7, 2014",,[10]
Monticello,Yolo,"6,488",26.3,"July 4, 2014","July 12, 2014",,[21]
Bully,Shasta,"12,661",51.2,"July 11, 2014","July 28, 2014","20 structures destroyed
1 civilian fatality",[22]
Nicolls,Kern,"1,680",6.8,"July 11, 2014","July 19, 2014",,[23]
Dark Hole,Mariposa,"1,077",4.4,"July 16, 2014","August 20, 2014",,[24]
Sand,El Dorado,"4,240",17.2,"July 25, 2014","September 2, 2014",67 structures destroyed,[25]
Kelley,Merced,"1,000",4.0,"July 26, 2014","July 29, 2014",,[10]
El Portal,Mariposa,"4,689",19.0,"July 26, 2014","August 4, 2014",2 structures destroyed,[26]
French,Madera,"13,838",56.0,"July 28, 2014","August 18, 2014",,[27]
Day,Modoc,"13,153",53.2,"July 30, 2014","August 13, 2014",10 structures destroyed,[28]
Lodge Complex,Mendocino,"12,535",50.7,"July 30, 2014","August 9, 2014",,[29]
Bald,Shasta,"39,736",160.8,"July 30, 2014","August 16, 2014",,[30]
Coffee Complex,Trinity,"6,178",25.0,"July 30, 2014","August 16, 2014",,[31]
KNF Beaver,Siskiyou,"32,496",131.5,"July 30, 2014","August 30, 2014",6 structures destroyed,[32]
Little Deer,Siskiyou,"5,503",22.3,"July 31, 2014","August 11, 2014",1 structure destroyed,[33]
Eiler,Shasta,"32,416",131.2,"July 31, 2014","August 24, 2014",21 structures destroyed,[34]
July Complex,Siskiyou,"50,042",202.5,"August 3, 2014","September 25, 2014",2 structures destroyed,[35]
Happy Camp Complex,Siskiyou,"134,056",542.5,"August 14, 2014","October 31, 2014",6 structures destroyed,[36]
Meadow,Mariposa,"4,772",19.3,"August 15, 2014","September 29, 2014",,[37]
Way,Kern,"4,045",16.4,"August 18, 2014","August 28, 2014",12 structures destroyed,[38]
Gulch,Shasta,"1,375",5.6,"September 10, 2014","September 16, 2014",4 structures destroyed,[39]
King,El Dorado,"97,717",395.4,"September 13, 2014","October 9, 2014",80 structures destroyed,[40]
Courtney,Madera,320,1.3,"September 14, 2014","September 21, 2014",49 structures destroyed,[41]
Boles,Siskiyou,516,2.1,"September 15, 2014","October 11, 2014",157 structures destroyed,[42]
Dog Rock,Mariposa,311,1.3,"October 7, 2014","October 12, 2014",1 firefighter killed,[43]
