Name,County,Acres,Start Date,Contained Date,Notes,"hide
Ref"
Pleasant,Inyo,"2,070","February 18, 2018","April 3, 2018",First significant wildfire of the year,[45]
Moffat,Inyo,"1,265","April 19, 2018","May 21, 2018",,[46]
Nees,Merced,"1,756","May 2, 2018","May 17, 2018",,[47]
Patterson,Riverside,"1,261","May 17, 2018","May 21, 2018",,[48]
Panoche,San Benito,64,"June 4, 2018","June 7, 2018",3 civilians killed,[49][9]
Stone,Los Angeles,"1,352","June 4, 2018","June 13, 2018",,[50]
Airline,San Benito,"1,314","June 4, 2018","June 14, 2018",,[51]
Apple,Tehama,"2,956","June 9, 2018","June 14, 2018",3 residential structures and 2 outbuildings destroyed,[52]
Chrome,Glenn,"2,290","June 9, 2018","June 21, 2018",1 outbuilding destroyed,[53]
Lions,Madera,"13,347","June 11, 2018","October 1, 2018",,[54][55]
Planada,Merced,"4,564","June 15, 2018","June 21, 2018",,[56]
Yankee,San Luis Obispo,"1,500","June 20, 2018","July 1, 2018",,[57]
Lane,Tehama,"3,716","June 23, 2018","July 4, 2018",1 injury,[58]
Pawnee,Lake,"15,185","June 23, 2018","July 8, 2018","22 structures destroyed, 1 injury",[59]
Creek,Madera,"1,678","June 24, 2018","July 5, 2018",4 residential structures and 7 minor structures destroyed,[60]
Waverly,San Joaquin,"12,300","June 29, 2018","July 2, 2018",,[61]
County,"Lake, Napa, Yolo","90,288","June 30, 2018","July 14, 2018",20 structures destroyed; 1 firefighter injured,[62]
Klamathon,Siskiyou,"38,008","July 5, 2018","July 16, 2018","82 structures destroyed; 3 injuries, 1 civilian killed",[63][64]
Valley,San Bernardino,"1,350","July 6, 2018","October 22, 2018",5 injured,[65][66][8]
Holiday,Santa Barbara,113,"July 6, 2018","July 11, 2018",20 structures destroyed,[67]
Pendleton Complex,San Diego,"1,800","July 6, 2018","July 11, 2018",Originated as 3 separate fires; burned in Camp Pendleton,[68][69]
West,San Diego,504,"July 6, 2018","July 11, 2018",56 structures destroyed,[70]
Georges,Inyo,"2,883","July 8, 2018","July 18, 2018","This was about the time that the wildfire outbreak started and some of the worst wildfires of the season, including the Carr and Mendocino Complex, aka the Ranch Fire/ River Fire, began.",[71][72][8]
Ferguson,Mariposa,"96,901","July 13, 2018","August 18, 2018","19 firefighters injured, 2 firefighters killed; 10 structures destroyed",[10][73]
Eagle,Modoc,"2,100","July 13, 2018","July 17, 2018",,[74][8]
Natchez,"Del Norte, Siskiyou","38,134","July 15, 2018","October 30, 2018",,[75][76]
Carr,Shasta,"229,651","July 23, 2018","August 30, 2018","1,079 residences, 22 commercial structures, 503 outbuildings destroyed
190 residences, 26 commercial structures, and 63 outbuildings damaged
3 firefighters and 5 civilians killed",[77]
Cranston,Riverside,"13,139","July 26, 2018","August 10, 2018",12 buildings destroyed,[78]
Mendocino Complex,"Mendocino, Lake, Colusa, Glenn","459,123","July 27, 2018","September 18, 2018","The Ranch and River Fires are collectively called the Mendocino Complex Fire
157 residential buildings destroyed, 123 others destroyed
13 residential buildings and 24 other buildings damaged
1 firefighter killed, 4 firefighters injured",[79][80][27][81]
Whaleback,Lassen,"18,703","July 27, 2018","August 7, 2018",,[82]
Butte,Sutter,"1,200","July 31, 2018","August 3, 2018",,[83]
Donnell,Tuolumne,"36,450","August 1, 2018","October 1, 2018",135 structures destroyed; 9 civilians injured,[84]
