"CBSA","CBSA Code","Date","AQI","Category","Defining Parameter","Defining Site","Number of Sites Reporting"
"Aberdeen, WA","10140","2021-01-01",28,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2021-01-02",43,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2021-01-03",30,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2021-01-04",24,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2021-01-05",20,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2021-01-06",20,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-07",17,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-08",36,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-09",19,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-10",18,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-11",12,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-12",38,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2021-01-13",26,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2021-01-14",19,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-15",49,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-16",25,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-17",30,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-18",22,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-19",35,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-20",35,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-21",38,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-22",25,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-23",24,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-24",17,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-25",23,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-26",13,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-27",13,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-28",18,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-29",17,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-30",10,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2021-01-31",13,"Good","PM2.5","53-027-2002",2
"Adrian, MI","10300","2021-01-01",42,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-02",20,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-03",23,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-04",30,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-05",57,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-06",29,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-07",24,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-08",13,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-09",40,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-10",65,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-11",55,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-12",61,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-13",64,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-14",61,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-15",46,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-16",34,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-17",26,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-18",34,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-19",43,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-20",32,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-21",16,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-22",17,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-23",22,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-24",38,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-25",59,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-26",44,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-27",18,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-28",12,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-29",25,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-30",38,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-01-31",36,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-01",28,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-02",13,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-03",22,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-04",61,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-05",33,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-06",40,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-07",29,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-08",37,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-09",53,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-10",52,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-11",33,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-12",42,"Good","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-13",52,"Moderate","PM2.5","26-091-0007",1
"Adrian, MI","10300","2021-02-14",46,"Good","PM2.5","26-091-0007",1
